Titulo,Score,Membros,Generos,Episodios,Estudios
Utagoe wa Mille-Feuille,6.16,5.0K,,"10 eps, 23 min",Jumondou
Puniru wa Kawaii Slime 2nd Season,6.96,3.6K,Comedy,"12 eps, 23 min",TOHO animation STUDIO
Binan Koukou Chikyuu Bouei-bu Haikara!,6.16,3.6K,"Comedy, Fantasy","12 eps, 24 min",Studio Deen
Yami Shibai 15,6.09,1.8K,"Avant Garde, Horror, Supernatural","? eps, 4 min",ILCA
Cardfight!! Vanguard: Divinez Deluxe Kesshou-hen,N/A,1.4K,Action,"? eps, 26 min",N/A
Shuukan Ranobe Anime,N/A,1.1K,"Action, Romance","? eps, 23 min",Ziine Studio
,,,,N/A,
Shinobanai! Crypto Ninja Sakuya: San no Maki,N/A,236,Action,"? eps, 3 min",Fanworks
,,,,N/A,
Dotoli Munhwasenteo,N/A,161,Comedy,"? eps, 3 min",N/A
Neko Konogoro: Tenka Toitsu-hen,N/A,159,Comedy,"? eps, 1 min",Kachidoki Studio
,,,,N/A,N/A
,,,,N/A,N/A
,,,,N/A,
Anmari Yakunitatanai Nihonshi,N/A,62,Comedy,"? eps, 5 min",N/A
,,,,N/A,
One Piece,8.73,2.6M,"Action, Adventure, Fantasy","? eps, 24 min",Toei Animation
Meitantei Conan,8.18,368K,"Adventure, Comedy, Mystery","? eps, 24 min",TMS Entertainment
Witch Watch,7.42,150K,"Comedy, Fantasy","26 eps, 24 min",Bibury Animation Studios
Kijin Gentoushou,7.42,95K,"Action, Adventure, Fantasy","24 eps, 25 min",Yokohama Animation Laboratory
Crayon Shin-chan,7.81,91K,"Comedy, Ecchi","? eps, 21 min",Shin-Ei Animation
Summer Pockets,7.30,60K,Romance,"26 eps, 23 min",feel.
Anne Shirley,7.79,42K,Drama,"24 eps, 24 min",The Answer Studio
,,,,N/A,
Shin Samurai-den Yaiba,7.30,35K,"Action, Adventure","? eps, 23 min",Wit Studio
,,,,N/A,
Haigakura,5.59,15K,"Adventure, Fantasy","13 eps, 23 min",Typhoon Graphics
Chiikawa,8.27,11K,Comedy,"? eps, 1 min",Doga Kobo
Uchuujin MuuMuu,6.30,10K,"Comedy, Sci-Fi","24 eps, 23 min",OLM
Sazae-san,6.15,10K,"Comedy, Slice of Life","? eps, 24 min",Eiken
,,,,N/A,N/A
Chibi Maruko-chan (1995),7.36,8.1K,Comedy,"? eps, 23 min",Nippon Animation
Everyday Host,6.63,7.3K,Comedy,"? eps, 3 min",Fanworks
Princession Orchestra,6.58,5.7K,"Action, Fantasy","? eps, 23 min",SILVER LINK.
,,,,N/A,
Kimi to Idol Precure♪,7.43,5.5K,Action,"49 eps, 24 min",Toei Animation
,,,,N/A,
Koupen-chan,7.31,4.5K,Slice of Life,"? eps, 1 min",Lesprit
Bonobono (TV 2016),6.39,4.0K,"Comedy, Slice of Life","? eps, 5 min",Eiken
Ninjala (TV),5.58,3.7K,Action,"? eps, 23 min",OLM
Shikaru Neko,N/A,3.0K,Slice of Life,"? eps, 0 min",N/A
Neko ni Tensei shita Ojisan,6.16,2.8K,Comedy,"? eps, 1 min",Studio Eight Color
,,,,N/A,
,,,,N/A,N/A
